JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
"Senior Manager, International Tax",XPO Logistics,"Charlotte, NC",3 days ago,2021-02-02,"5 years of experience in a publicly traded corporate income tax department, or in the tax department of a large public accounting firm or law firm with 3 years…",,https://www.indeed.com/rc/clk?jk=17029e68f305fbb0&fccid=518acc75d1476dc2&vjs=3
Audit Senior Manager,Equitable,"Charlotte, NC",17 days ago,2021-02-02,"Executes timely planning and execution of assigned point in time audit projects and advisory work. Experience at an insurance Company, financial institution and…",,https://www.indeed.com/rc/clk?jk=fa45cd61100f5b78&fccid=82e3f19d796cce5c&vjs=3
Tax Senior Manager,Elliott Davis,"Charlotte, NC",30+ days ago,2021-02-02,Collaborating cross-functionally within the firm to grow existing business and offer a variety of business solutions to customers and prospects.,,https://www.indeed.com/rc/clk?jk=75e3bbdab13e5e91&fccid=a3b99287cfeec2b7&vjs=3
Tax - Senior Associate or Junior Partner,Moore & Van Allen,"Charlotte, NC",30+ days ago,2021-02-02,"Qualified candidates will have at least four years of federal income tax experience with diverse, sophisticated transactional matters, review and negotiation of…",,https://www.indeed.com/rc/clk?jk=a50b4737e281d715&fccid=56498fb68fa7c6a7&vjs=3
Senior Associate (Audit & Tax),Rödl & Partner,"Charlotte, NC",30+ days ago,2021-02-02,"We recognize that talented people are attracted to companies that provide competitive pay, comprehensive benefits packages and outstanding advancement…",,https://www.indeed.com/rc/clk?jk=1ef01a27d366788d&fccid=9302447067d895a1&vjs=3
STRATEGIC FEDERAL TAX SERVICES SENIOR ASSOCIATE,GRANT THORNTON,"Charlotte, NC",9 days ago,2021-02-02,Ensure projects are conducted in accordance with firm standards and completed on time within budget. A minimum of two to four years of experience in Accounting…,,https://www.indeed.com/rc/clk?jk=f03e5219f17c8271&fccid=7ac82fceed64aa81&vjs=3
Senior Manager Indirect Tax,Lowe's,"Mooresville, NC",30+ days ago,2021-02-02,"Directs the payment of taxes, fees and licenses; overseeing the setup through Lowe\'s portals, input of jurisdictions, delivery and addressing of non-electronic…",,https://www.indeed.com/rc/clk?jk=2148fc2c8af807f7&fccid=9a55d5dc8c10ef41&vjs=3
Senior - Multistate Tax - Indirect,Deloitte,"Charlotte, NC",30+ days ago,2021-02-02,"Researching state tax legislation for consulting projects related to tax planning and compliance. Experience with state tax planning, tax research, and tax…",,https://www.indeed.com/rc/clk?jk=2a26cb598b11451c&fccid=9e215d88a6b33622&vjs=3
Tax Services Senior - Global Compliance & Reporting,Ernst & Young,"Charlotte, NC",11 days ago,2021-02-02,"As a Tax Senior, you’ll see this first hand by being immersed in the evolving tax environment through preparing and auditing income tax provisions, assisting…",,https://www.indeed.com/rc/clk?jk=f7cf9266a8e7a383&fccid=1544766d4c2915b0&vjs=3
Senior Internal Auditor - Financial Crimes,Truist Financial,"Charlotte, NC",30+ days ago,2021-02-02,"F. addressing material issues with senior management. B. planning, scoping and developing the audit test plan. 1st shift (United States of America).",,https://www.indeed.com/rc/clk?jk=0355edfa4619f466&fccid=035229327af06091&vjs=3
